"Station Name: Cedar City - Zion NP, Kolob Canyon"
"Station ID: 1262327"
"Link To Variable Descriptions: https://climate.usu.edu/mchd/dashboard/overview/UCRN.php"

"META DATA"
Name,Description,Units,Frequency
airt,"average air temperature from PRTs in Met One shield",fahrenheit,dly
airt_max,"maximum 5 minute air temperature from prts in Met One shield",fahrenheit,dly
airt_min,"minimum 5 minute air temperature from prts in Met One shield",fahrenheit,dly
eto,"daily short reference ET from Etsz function",inches,dly
etr,"daily tall reference ET from Etsz function",inches,dly
precip,"daily precipitation",inches,dly
rh_max,"maximum relative humidity from rh sensor in Met One shield",percent,dly
rh_min,"mininum relative humidity from rh sensor in Met One shield",percent,dly
sealevel_pressure,"sea level corrected pressure",inHG,dly
site_pressure,pressure,millibar,dly
solar,"total incoming (short wave) radiation from pyronometer","watts per meter squared",dly
td,"average dew point temperature from rh sensor in Met One shield",fahrenheit,dly
td_max,"maximum 5 minute dew point temperature from rh sensor in Met One shield",fahrenheit,dly
td_min,"minimum 5 minute dew point temperature from rh sensor in Met One shield",fahrenheit,dly
timestamp,"date and time",,dly
wetness,"percent of the day that wetness sensor detected precipitation",percent,dly
windd,"average wind direction",degrees,dly
winds,"average wind speed","miles per hour",dly
winds_max,"maximum wind gust","miles per hour",dly

date_time,station_id,td,td_min,td_max,airt,airt_min,airt_max,rh_max,rh_min,winds,winds_max,windd,precip,wetness,solar,eto,etr,site_pressure,sealevel_pressure
"2022-09-01 23:59:59",1262327,35.9,30.9,41.3,80.5,62.0,98.7,40,10,2.013,11.632,157,0.000,0,23.85,0.211,0.259,25.1,30.2
"2022-09-02 23:59:59",1262327,34.4,27.3,42.6,82.4,65.3,98.9,35,10,4.026,15.435,137,0.000,0,21.40,0.231,0.306,25.1,30.2
"2022-09-03 23:59:59",1262327,36.0,29.7,41.6,81.2,63.1,99.3,38,10,2.684,14.987,148,0.000,0,24.59,0.231,0.293,25.2,30.3
"2022-09-04 23:59:59",1262327,47.2,40.9,65.8,80.5,66.0,97.5,63,18,2.684,13.869,145,0.012,1,22.67,0.210,0.264,25.2,30.3
"2022-09-05 23:59:59",1262327,38.6,32.5,46.0,81.3,63.1,100.1,43,12,2.908,15.211,153,0.000,0,23.45,0.226,0.288,25.1,30.2
"2022-09-06 23:59:59",1262327,35.1,31.1,40.0,82.1,67.1,99.9,31,9,3.132,17.001,133,0.000,0,19.16,0.213,0.285,25.2,30.3
"2022-09-07 23:59:59",1262327,39.3,32.6,45.8,80.8,66.0,97.4,36,15,2.684,14.316,149,0.000,0,21.19,0.214,0.276,25.2,30.3
"2022-09-08 23:59:59",1262327,43.8,35.6,56.8,76.2,63.4,96.7,73,12,2.237,17.448,124,0.126,4,18.36,0.181,0.227,25.1,30.2
"2022-09-09 23:59:59",1262327,44.9,37.7,52.5,76.0,61.2,90.3,60,16,4.250,14.540,135,0.000,0,21.45,0.220,0.290,24.9,30.1
"2022-09-10 23:59:59",1262327,37.9,18.7,59.5,70.2,62.2,81.4,70,13,3.803,18.567,131,0.000,0,15.31,0.155,0.206,25.1,30.2
"2022-09-11 23:59:59",1262327,45.2,30.4,51.8,70.2,56.0,87.0,76,13,2.013,11.408,164,0.000,0,16.43,0.140,0.172,25.2,30.3
"2022-09-12 23:59:59",1262327,46.6,41.6,52.6,69.7,57.7,80.9,67,27,3.579,16.777,171,0.004,5,17.80,0.159,0.205,25.1,30.2
"2022-09-13 23:59:59",1262327,53.7,48.8,56.6,59.3,55.5,64.0,95,64,1.790,11.185,161,0.713,26,5.74,0.032,0.035,25.0,30.2
"2022-09-14 23:59:59",1262327,54.2,51.3,58.8,59.3,53.9,68.3,96,59,2.461,13.198,164,1.415,24,10.52,0.069,0.079,25.0,30.2
"2022-09-15 23:59:59",1262327,51.9,49.4,56.1,63.4,51.7,76.1,97,39,2.461,13.869,160,0.000,0,20.43,0.149,0.177,25.1,30.2
"2022-09-16 23:59:59",1262327,47.6,37.9,53.3,64.5,55.1,77.2,88,24,3.132,13.869,148,0.000,0,20.34,0.157,0.192,25.0,30.2
