Date,Value
199501,1.81
199502,1.45
199503,2.08
199504,2.5
199505,4.15
199506,5.15
199507,6.01
199508,5.69
199509,-0.17
199510,-0.83
199511,-1.53
199512,-1.7
199601,-1.44
199602,-1.28
199603,-1.38
199604,-1.58
199605,-1.47
199606,-1.92
199607,-2.31
199608,-3.11
199609,0.3
199610,0.47
199611,0.85
199612,1.21
199701,2.31
199702,2.49
199703,1.62
199704,2.17
199705,2.13
199706,2.68
199707,2.92
199708,3.6
199709,5.06
199710,4.55
199711,3.93
199712,3.12
199801,2.85
199802,3.44
199803,3.41
199804,3.41
199805,3.44
199806,4.42
199807,5.45
199808,4.94
199809,5.11
199810,5.37
199811,4.76
199812,3.91
199901,3.44
199902,2.86
199903,1.59
199904,2.59
199905,2.67
199906,2.85
199907,3.21
199908,3.63
199909,-0.05
199910,-0.95
199911,-1.93
199912,-2.36
200001,-2.19
200002,-1.8
200003,-1.84
200004,-2.52
200005,-2.93
200006,-3.44
200007,-4.21
200008,-3.79
200009,-3.56
200010,-1.99
200011,-1.83
200012,-1.94
200101,-1.8
200102,-1.47
200103,-1.58
200104,-1.28
200105,-1.64
200106,-2.02
200107,-2.22
200108,-2.15
200109,-2.72
200110,-3.11
200111,-2.67
200112,-2.46
200201,-2.81
200202,-3.32
200203,-3.54
200204,-3.85
200205,-4.58
200206,-5.48
200207,-6.1
200208,-6.6
200209,-4.86
200210,-4.16
200211,-3.89
200212,-3.93
200301,-4.46
200302,-4.12
200303,-4.12
200304,-4.01
200305,-4.04
200306,-4.38
200307,-5.08
200308,-4.93
200309,-4.85
200310,-5.22
200311,-4.41
200312,-3.5
200401,-3.45
200402,-2.45
200403,-3.27
200404,-2.74
200405,-2.95
200406,-2.99
200407,-3.09
200408,-3.11
200409,0.2
200410,1.89
200411,2.37
200412,2.57
200501,4.05
200502,4.75
200503,4.78
200504,4.82
200505,5.07
200506,5.71
200507,5.61
200508,5.23
200509,-0.03
200510,0.1
200511,-0.53
200512,-0.67
200601,-0.6
200602,-1.07
200603,-0.34
200604,-0.49
200605,-1.13
200606,-1.66
200607,-1.86
200608,-2.1
200609,0.42
200610,1.9
200611,-0.26
200612,-0.38
200701,-0.73
200702,-0.79
200703,-1.46
200704,-1.8
200705,-2.39
200706,-3.08
200707,-3.54
200708,-3.51
200709,-2.87
200710,-2.83
200711,-3.44
200712,-2.48
200801,-1.83
200802,-1.2
200803,-1.38
200804,-1.61
200805,-1.36
200806,-1.22
200807,-1.53
200808,-1.79
200809,-2
200810,-2.14
200811,-2.25
200812,-1.73
200901,-1.6
200902,-1.59
200903,-1.96
200904,-1.51
200905,-1.48
200906,-0.8
200907,-1.03
200908,-1.71
200909,-1.9
200910,-1.84
200911,-2.39
200912,0.12
201001,0.32
201002,0.26
201003,0.14
201004,0.34
201005,0.7
201006,0.85
201007,0.71
201008,0.82
201009,-0.74
201010,0.96
201011,1.24
201012,2.94
201101,2.67
201102,3.03
201103,2.97
201104,3.54
201105,4.88
201106,5.08
201107,6.08
201108,5.7
201109,5.12
201110,4.76
201111,-0.14
201112,-0.66
201201,-0.88
201202,-1.02
201203,-1.82
201204,-2.44
201205,-3.48
201206,-4.6
201207,-4.59
201208,-4.59
201209,-4.24
201210,-4.07
201211,-4.32
201212,-3.62
201301,-3.46
201302,-3.68
201303,-4.15
201304,-3.76
201305,-3.76
201306,-4.66
201307,-4.56
201308,-4.17
201309,-2.25
201310,-2.03
201311,-2.01
201312,-2.01
201401,-2.36
201402,-2.57
201403,-3
201404,-3.09
201405,-3.3
201406,-4.03
201407,-4.2
201408,-2.75
201409,-1.14
201410,-1.96
201411,-2.15
201412,-1.98
201501,-2.09
201502,-2.77
201503,-3.61
201504,-3.76
201505,-2.3
201506,-2.55
201507,-2.36
201508,-2.22
201509,-2.28
201510,-1.84
201511,-1.61
201512,-1.32
201601,-0.95
201602,-1.2
201603,-1.5
201604,-1.17
201605,-0.83
201606,-1.27
201607,-1.92
201608,-2.15
201609,0.91
201610,-0.43
201611,-0.85
201612,0.44
201701,1.67
201702,1.96
201703,-0.04
201704,0.07
201705,-0.16
201706,-0.38
201707,-0.41
201708,-0.76
201709,-0.22
201710,-0.91
201711,-1.7
201712,-2.31
201801,-2.69
201802,-3.09
201803,-3.32
201804,-3.65
201805,-4.07
201806,-5.19
201807,-5.72
201808,-5.67
201809,-6.15
201810,1.39
201811,1.24
201812,1
201901,1.32
201902,2.35
201903,3.35
201904,3.37
201905,4.83
201906,5
201907,5.09
201908,-0.69
201909,-0.82
201910,-1.16
201911,-0.59
201912,-0.26
202001,-0.4
202002,-0.57
202003,-0.59
202004,-1.11
202005,-1.9
202006,-2.06
202007,-2.72
202008,-3.81
202009,-4.26
202010,-4.75
202011,-4.74
202012,-4.78
202101,-4.89
202102,-4.91
202103,-4.89
202104,-5
202105,-5.68
202106,-6.58
202107,-6.32
202108,-5.11
202109,-4.89
202110,-3.55
202111,-4.16
202112,-3.06
202201,-3.38
202202,-3.62
202203,-3.93
202204,-4.1
202205,-4.41
202206,-4.93
202207,-5.22
202208,-4.65
202209,-4.14
202210,-3.94
202211,0.28
202212,0.73
202301,2.12
202302,2.51
202303,4.06
202304,3.48
202305,3.06
202306,3.02
202307,2.44
202308,2.8
202309,2.61
202310,-0.45
202311,-0.79
202312,-1.3
202401,-1.27
202402,0.34
202403,0.55
202404,-0.39
202405,-0.61
202406,-0.94
202407,-1.81
202408,-1.3
202409,-2.04
202410,-2.22
202411,-2
202412,-2.33
202501,-2.93
202502,-3.32
202503,-3.47
